fcode,nama stasiun,kode stasiun,kd_prov,kabkot,provinsi,srs_id,objectid
CD01050140,Kunduran,KDR,33,KAB. BLORA,JAWA TENGAH,WGS 1984,460
CD01050140,Ngawen,NA,33,KAB. BLORA,JAWA TENGAH,WGS 1984,461
CD01050140,Delok,DEK,33,KAB. REMBANG,JAWA TENGAH,WGS 1984,466
CD01050140,Lasem,LS,33,KAB. REMBANG,JAWA TENGAH,WGS 1984,467
CD01050140,Mantingan,MNT,33,KAB. REMBANG,JAWA TENGAH,WGS 1984,468
CD01050140,Pamotan,PMT,33,KAB. REMBANG,JAWA TENGAH,WGS 1984,469
CD01050140,Rembang,RB,33,KAB. REMBANG,JAWA TENGAH,WGS 1984,470
CD01050140,Bulumanis,BIS,33,KAB. PATI,JAWA TENGAH,WGS 1984,471
CD01050140,Juwana,JU,33,KAB. PATI,JAWA TENGAH,WGS 1984,472
CD01050140,Pati,PT,33,KAB. PATI,JAWA TENGAH,WGS 1984,473
CD01050140,Tayu,TAY,33,KAB. PATI,JAWA TENGAH,WGS 1984,474
CD01050140,Kudus,KUD/KS,33,KAB. KUDUS,JAWA TENGAH,WGS 1984,475
CD01050140,Mayong,MY,33,KAB. JEPARA,JAWA TENGAH,WGS 1984,476
CD01050140,Pecangaan,PCG,33,KAB. JEPARA,JAWA TENGAH,WGS 1984,477
CD01050140,Welahan,WLH,33,KAB. JEPARA,JAWA TENGAH,WGS 1984,478
CD01050140,Buyaran,BYA,33,KAB. DEMAK,JAWA TENGAH,WGS 1984,479
CD01050140,Demak,DM,33,KAB. DEMAK,JAWA TENGAH,WGS 1984,480
CD01050140,Ngaloran,NLR,33,KAB. DEMAK,JAWA TENGAH,WGS 1984,481
CD01050140,Sayung,SYG,33,KAB. DEMAK,JAWA TENGAH,WGS 1984,482
CD01050140,TUNTANG,TTG,33,KAB. SEMARANG,JAWA TENGAH,WGS 1984,485
CD01050140,Beringin (Bringin),BRI,33,KAB. SEMARANG,JAWA TENGAH,WGS 1984,487
CD01050140,Jambu,JMB,33,KAB. SEMARANG,JAWA TENGAH,WGS 1984,488
CD01050140,Besokor,BSK,33,KAB. KENDAL,JAWA TENGAH,WGS 1984,493
CD01050140,Kendal,KL,33,KAB. KENDAL,JAWA TENGAH,WGS 1984,495
CD01050140,Wonopringgo,WNP (WPO),33,KAB. PEKALONGAN,JAWA TENGAH,WGS 1984,502
CD01050140,Genuk,GNK,33,KOTA SEMARANG,JAWA TENGAH,WGS 1984,529
CD01050140,Jurnatan,JNA,33,KOTA SEMARANG,JAWA TENGAH,WGS 1984,531
CD01050140,Kemijen,KME,33,KOTA SEMARANG,JAWA TENGAH,WGS 1984,532
CD01050140,Legok,LGK,33,KAB. BANYUMAS,JAWA TENGAH,WGS 1984,384
CD01050140,Patikraja,PKJ,33,KAB. BANYUMAS,JAWA TENGAH,WGS 1984,386
CD01050140,Purwokerto Timur,PKT,33,KAB. BANYUMAS,JAWA TENGAH,WGS 1984,387
CD01050140,Sokaraja,SOK,33,KAB. BANYUMAS,JAWA TENGAH,WGS 1984,388
CD01050140,Banjarsari,BJI/BJRS,33,KAB. BANYUMAS,JAWA TENGAH,WGS 1984,392
CD01050140,Banjarnegara,BA,33,KAB. BANJARNEGARA,JAWA TENGAH,WGS 1984,394
CD01050140,Purwareja,PWJ,33,KAB. BANJARNEGARA,JAWA TENGAH,WGS 1984,395
CD01050140,Soka,SOA,33,KAB. KEBUMEN,JAWA TENGAH,WGS 1984,401
CD01050140,Montelan,MTL,33,KAB. PURWOREJO,JAWA TENGAH,WGS 1984,409
CD01050140,Purworejo,PWR,33,KAB. PURWOREJO,JAWA TENGAH,WGS 1984,410
CD01050140,Selokromo,SOR,33,KAB. WONOSOBO,JAWA TENGAH,WGS 1984,411
CD01050140,Wonosobo,WS,33,KAB. WONOSOBO,JAWA TENGAH,WGS 1984,412
CD01050140,Secang,SCA,33,KAB. MAGELANG,JAWA TENGAH,WGS 1984,413
CD01050140,Boyolali,BI,33,KAB. BOYOLALI,JAWA TENGAH,WGS 1984,414
CD01050140,Kalisamin,KIM,33,KAB. SUKOHARJO,JAWA TENGAH,WGS 1984,426
CD01050140,Kronelan,KNL,33,KAB. SUKOHARJO,JAWA TENGAH,WGS 1984,427
CD01050140,Baturetno,BRO,33,KAb. WONOGIRI,JAWA TENGAH,WGS 1984,429
CD01050140,Parakan,PN/PRN,33,KAB. TEMANGGUNG,JAWA TENGAH,WGS 1984,489
CD01050140,Temanggung,TMG,33,KAB. TEMANGGUNG,JAWA TENGAH,WGS 1984,490
CD01050140,Magelang,MG,33,KOTA MAGELANG,JAWA TENGAH,WGS 1984,521
CD01050140,Sewugalur,SWG,34,KAB. KULON PROGO,DI YOGYAKARTA,WGS 1984,539
CD01050140,Palbapang,PLP,34,KAB. BANTUL,DI YOGYAKARTA,WGS 1984,541
CD01050140,Pundung,PDG,34,KAB. BANTUL,DI YOGYAKARTA,WGS 1984,542
CD01050140,Sedayu,SDY,34,KAB. BANTUL,DI YOGYAKARTA,WGS 1984,544
CD01050140,Srandakan,SDK,34,KAB. BANTUL,DI YOGYAKARTA,WGS 1984,545
CD01050140,Ngabean,NBN,34,KOTA YOGYAKARTA,DI YOGYAKARTA,WGS 1984,549
CD01050140,Pasar Gede,PGD,34,KOTA YOGYAKARTA,DI YOGYAKARTA,WGS 1984,550
CD01050140,Badegan,BDG,35,KAB. PONOROGO,JAWA TIMUR,WGS 1984,552
CD01050140,Balong,BNG,35,KAB. PONOROGO,JAWA TIMUR,WGS 1984,553
CD01050140,Ponorogo,PO,35,KAB. PONOROGO,JAWA TIMUR,WGS 1984,554
CD01050140,Slahung,SLH,35,KAB. PONOROGO,JAWA TIMUR,WGS 1984,555
CD01050140,Sumoroto,SMT,35,KAB. PONOROGO,JAWA TIMUR,WGS 1984,556
CD01050140,Trenggalek (Tugu),TGL (TGU),35,KAB. TRENGGALEK,JAWA TIMUR,WGS 1984,557
CD01050140,Campurdarat,CPT,35,KAB. TULUNGAGUNG,JAWA TIMUR,WGS 1984,563
CD01050140,Gurah,GU,35,KAB. KEDIRI,JAWA TIMUR,WGS 1984,564
CD01050140,Jengkol,JKL,35,KAB. KEDIRI,JAWA TIMUR,WGS 1984,565
CD01050140,Konto,KTO,35,KAB. KEDIRI,JAWA TIMUR,WGS 1984,566
CD01050140,Kuarasan,KRS,35,KAB. KEDIRI,JAWA TIMUR,WGS 1984,567
CD01050140,Pare,PE,35,KAB. KEDIRI,JAWA TIMUR,WGS 1984,568
CD01050140,Pehsentee,PST,35,KAB. KEDIRI,JAWA TIMUR,WGS 1984,569
CD01050140,Wales,-,35,KAB. KEDIRI,JAWA TIMUR,WGS 1984,570
CD01050140,Kambangan,KBG,35,KAB. JOMBANG,JAWA TIMUR,WGS 1984,663
CD01050140,Majoagung,MJG,35,KAB. JOMBANG,JAWA TIMUR,WGS 1984,664
CD01050140,Ngoro,NGR,35,KAB. JOMBANG,JAWA TIMUR,WGS 1984,665
CD01050140,Ploso,POS,35,KAB. JOMBANG,JAWA TIMUR,WGS 1984,666
CD01050140,Pulorejo,PLR,35,KAB. JOMBANG,JAWA TIMUR,WGS 1984,667
CD01050140,Pesantren,PES,35,KOTA KEDIRI,JAWA TIMUR,WGS 1984,721
CD01050140,Batu Lawang,BTW,35,KAB. MALANG,JAWA TIMUR,WGS 1984,571
CD01050140,Dampit,DPT,35,KAB. MALANG,JAWA TIMUR,WGS 1984,572
CD01050140,Gondang Legi,GDL,35,KAB. MALANG,JAWA TIMUR,WGS 1984,573
CD01050140,Tumpang,TPG,35,KAB. MALANG,JAWA TIMUR,WGS 1984,574
CD01050140,Jabung,JBG,35,KAB. PROBOLINGGO,JAWA TIMUR,WGS 1984,625
CD01050140,Malasan,MLS,35,KAB. PROBOLINGGO,JAWA TIMUR,WGS 1984,626
CD01050140,Phaiton,PHA,35,KAB. PROBOLINGGO,JAWA TIMUR,WGS 1984,627
CD01050140,Gunung Gangsir,GNG,35,KAB. PASURUAN,JAWA TIMUR,WGS 1984,628
CD01050140,Japanan,JPN,35,KAB. PASURUAN,JAWA TIMUR,WGS 1984,629
CD01050140,Ngempit,NGE,35,KAB. PASURUAN,JAWA TIMUR,WGS 1984,630
CD01050140,Nguling,NGU,35,KAB. PASURUAN,JAWA TIMUR,WGS 1984,631
CD01050140,Pandaan,-,35,KAB. PASURUAN,JAWA TIMUR,WGS 1984,632
CD01050140,Warungdowo,WRD,35,KAB. PASURUAN,JAWA TIMUR,WGS 1984,633
CD01050140,Winongan,WNG,35,KAB. PASURUAN,JAWA TIMUR,WGS 1984,634
CD01050140,BANJARKEMANTREN,BJK,35,KAB. SIDOARJO,JAWA TIMUR,WGS 1984,635
CD01050140,BUDURAN,BDR,35,KAB. SIDOARJO,JAWA TIMUR,WGS 1984,637
CD01050140,PAGERWOJO,PWJ,35,KAB. SIDOARJO,JAWA TIMUR,WGS 1984,641
CD01050140,SAWOTRATAP,STP,35,KAB. SIDOARJO,JAWA TIMUR,WGS 1984,643
CD01050140,Prambon,PBN,35,KAB. SIDOARJO,JAWA TIMUR,WGS 1984,650
CD01050140,Bangsal,BGS,35,KAB. MOJOKERTO,JAWA TIMUR,WGS 1984,652
CD01050140,Brangkal,BRL,35,KAB. MOJOKERTO,JAWA TIMUR,WGS 1984,653
CD01050140,Dinoyo,DNY,35,KAB. MOJOKERTO,JAWA TIMUR,WGS 1984,654
CD01050140,Gempolkerep,GKP,35,KAB. MOJOKERTO,JAWA TIMUR,WGS 1984,655
CD01050140,Lespadangan,LPD,35,KAB. MOJOKERTO,JAWA TIMUR,WGS 1984,656
CD01050140,Pohjejer,PJJ,35,KAB. MOJOKERTO,JAWA TIMUR,WGS 1984,657
CD01050140,Jatirogo,JTG,35,KAB. TUBAN,JAWA TIMUR,WGS 1984,687
CD01050140,Merakurak,MKR,35,KAB. TUBAN,JAWA TIMUR,WGS 1984,688
CD01050140,Plumpang,PMG,35,KAB. TUBAN,JAWA TIMUR,WGS 1984,689
CD01050140,Bluluk,BLK,35,KAB. LAMONGAN,JAWA TIMUR,WGS 1984,696
CD01050140,Kedungpring,KEI,35,KAB. LAMONGAN,JAWA TIMUR,WGS 1984,697
CD01050140,Ngimbang,NBG,35,KAB. LAMONGAN,JAWA TIMUR,WGS 1984,699
CD01050140,Gresik,GS,35,KAB. GRESIK,JAWA TIMUR,WGS 1984,703
CD01050140,Balega,BGA,35,KAB. BANGKALAN,JAWA TIMUR,WGS 1984,705
CD01050140,Bangkalan,BKL,35,KAB. BANGKALAN,JAWA TIMUR,WGS 1984,706
CD01050140,Kamal,KML,35,KAB. BANGKALAN,JAWA TIMUR,WGS 1984,707
CD01050140,Kwanyar,KWR,35,KAB. BANGKALAN,JAWA TIMUR,WGS 1984,708
CD01050140,Tanah Merah,TNM,35,KAB. BANGKALAN,JAWA TIMUR,WGS 1984,709
